,ONS SOC,ONS Title,Display,Exposure,Proximity,RIF,Employment (tot),Employment (m),Employment (f),Median weekly pay,Mean weekly pay,Median weekly pay (m),Mean weekly pay (m),Median weekly pay (f),Mean weekly pay (f),Female percent
84,3231,Youth and community workers,0,9,74,52.711478825773796,76400,20900,55400,502.6,390.9,503.4,517.6,499.9,512.2,0.72513089
85,3233,Child and early years officers,0,45,82,66.14000302388865,46400,7300,39100,473.9,400.8,517.9,559.4,471.7,474.2,0.842672414
86,3235,Counsellors,0,63,68,65.54769256045554,21900,2900,18900,503.3,395.7,408.1,506.0,515.1,560.9,0.863013699
87,3312,Police officers (sergeant and below),1,61,73,67.26812023536854,159200,110500,48700,783.4,783.0,797.7,817.0,750.5,731.2,0.305904523
88,3314,Prison service officers (below principal officer),0,72,81,76.6322386466688,46400,31200,15200,579.0,546.7,579.6,579.2,507.4,533.9,0.327586207
89,3412,"Authors, writers and translators",0,7,49,35.0,89500,33700,55800,585.0,612.9,656.1,700.0,565.1,658.8,0.623463687
90,3413,"Actors, entertainers and presenters",0,5,95,67.26812023536854,53800,31000,22800,-1.0,-1.0,-1.0,813.9,-1.0,-1.0,0.423791822
91,3415,Musicians,0,7,82,58.193642264426096,54900,39800,15100,750.9,398.4,756.9,711.9,-1.0,-1.0,0.275045537
92,3416,"Arts officers, producers and directors",0,2,64,45.27692569068708,100600,58300,42300,720.3,842.9,740.0,1033.6,690.0,741.1,0.4204771370000001
93,3417,"Photographers, audio-visual and broadcasting equipment operators",0,4,68,48.16637831516918,66500,51800,14700,518.9,524.8,522.7,583.8,491.6,511.4,0.221052632
94,3421,Graphic designers,0,0,34,24.041630560342615,93800,59800,34100,527.0,529.9,536.6,579.6,497.2,524.9,0.363539446
95,3422,"Product, clothing and related designers",0,0,48,33.94112549695428,82900,37900,45000,588.6,585.5,608.1,667.8,544.5,598.2,0.542822678
96,3441,Sports players,0,6,59,41.93447269252351,12000,9900,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
97,3442,"Sports coaches, instructors and officials",0,9,74,52.711478825773796,100500,57300,43200,476.4,249.0,473.6,559.2,473.1,479.8,0.429850746
98,3443,Fitness instructors,0,22,83,60.716554579455504,68200,31500,36700,348.7,200.5,363.2,379.5,339.8,376.3,0.5381231670000001
99,3511,Air traffic controllers,0,7,82,58.193642264426096,8100,7000,-1,-1.0,1734.5,-1.0,1828.1,-1.0,1487.3,0.0
100,3512,Aircraft pilots and flight engineers,0,28,83,61.939486597807694,22900,21600,-1,1511.6,1593.3,1494.7,1648.2,-1.0,-1.0,0.0
101,3513,Ship and hovercraft officers,0,10,74,52.80151512977634,14900,14200,-1,-1.0,843.9,-1.0,876.4,-1.0,-1.0,0.0
102,3520,Legal associate professionals,0,1,39,27.58622844826744,72000,27000,45000,554.3,647.1,601.2,756.5,516.8,632.0,0.625
103,3531,"Estimators, valuers and assessors",0,0,58,41.012193308819754,61800,45400,16400,593.8,632.8,615.8,727.2,545.0,575.4,0.265372168
104,3533,Insurance underwriters,0,1,52,36.776351096866584,30300,14000,16300,670.8,781.4,670.8,883.0,607.3,766.4,0.537953795
105,3534,Finance and investment analysts and advisers,0,0,47,33.23401871576773,230200,153500,76700,698.4,784.3,727.1,851.2,658.1,729.9,0.333188532
106,3535,Taxation experts,0,4,55,38.99358921669048,34900,19400,15500,925.1,990.2,958.4,1056.7,894.9,1052.9,0.444126074
107,3541,Buyers and procurement officers,0,10,51,36.74914965002591,54300,24200,30100,590.5,617.2,612.9,659.1,576.2,624.7,0.5543278079999999
108,3544,Estate agents and auctioneers,0,4,71,50.284192347098504,53100,19000,34100,443.8,433.8,491.6,652.2,437.2,445.9,0.642184557
109,3545,Sales accounts and business development managers,0,3,48,34.0073521462639,462500,277300,185200,862.4,958.5,924.1,1049.1,780.3,875.1,0.400432432
110,3550,Conservation and environmental associate professionals,0,17,67,48.877397639399746,12600,9800,2900,445.9,433.8,436.6,494.7,512.6,490.8,0.23015873
111,3562,Human resources and industrial relations officers,0,5,41,29.20616373302046,156700,55100,101600,541.3,565.3,557.2,610.2,536.6,593.1,0.6483726870000001
112,3564,Careers advisers and vocational guidance specialists,0,36,64,51.923019942988674,30600,9100,21500,540.7,446.0,500.9,528.5,578.6,577.6,0.702614379
113,3565,Inspectors of standards and regulations,0,25,52,40.798284277650694,48800,32200,16600,611.4,655.1,612.7,757.9,575.2,629.4,0.340163934
114,3567,Health and safety officers,0,18,65,47.69171835864168,59900,39900,20000,685.9,696.9,705.3,764.0,607.0,622.4,0.333889816
115,4121,Credit controllers,0,1,55,38.897300677553446,36300,7700,28600,460.0,423.0,479.1,509.7,450.6,462.4,0.787878788
116,4122,"Book-keepers, payroll managers and wages clerks",0,4,44,31.240998703626616,441500,131700,309800,485.7,450.6,536.6,608.5,479.1,529.8,0.701698754
